,article_number,content,dates,cluster,Subjectivity,Polarity,Sentiment,word_freq,article_title
0,0,"['orb', 'bump', 'protest', 'abila', 'response', 'call', 'action', '20120908', 'abila', 'kronos', 'thousand', 'people', 'striped', 'road', 'thursday', 'posting', 'solidarity', 'antigovernment', 'among', 'demonstrator', 'mestache', 'vardshvna', '23', 'western', 'coast', 'kronos', 'try', 'obtain', 'attention', 'government', 'said', 'important', 'thus', 'took', 'leave', 'work', 'part', 'important', 'event', 'one', 'much', 'used', 'power', 'free', 'speech', 'express', 'concern', 'current', 'lack', 'transparency', 'government', 'public', 'money', 'must', 'realize', 'know', 'make', 'additional', 'vardshvna', 'simply', 'steal', 'money', 'think', 'leave', 'poster', 'coloured', 'image', 'elian', 'karel', 'juliana', 'vann', 'recall', 'heavy', 'toll', 'already', 'paid', 'chief', 'innocent', 'one', 'karel', 'former', 'chief', 'guard', 'kronos', 'untimely', 'death', '2009', 'death', 'thought', 'murder', 'encouraged', 'much', 'cancel', 'gathering', 'bring', 'message', 'guard', 'kronos', 'public', 'juliana', 'vann', 'died', '1998', 'cancer', 'caused', 'environmental', 'toxin', 'drinking', 'water', 'turned', 'ten', 'year']",2012-09-08,C2,0.3593650793650794,0.13333333333333333,Positive,"[('kronos', 4), ('death', 2), ('vardshvna', 2), ('vann', 2), ('abila', 2), ('karel', 2), ('important', 2), ('public', 2), ('guard', 2), ('leave', 2), ('chief', 2), ('juliana', 2), ('one', 2), ('much', 2), ('government', 2), ('money', 2), ('murder', 1), ('recall', 1), ('elian', 1), ('obtain', 1), ('antigovernment', 1), ('speech', 1), ('people', 1), ('bring', 1), ('caused', 1), ('demonstrator', 1), ('concern', 1), ('additional', 1), ('poster', 1), ('orb', 1), ('realize', 1), ('posting', 1), ('environmental', 1), ('cancer', 1), ('western', 1), ('action', 1), ('must', 1), ('simply', 1), ('bump', 1), ('said', 1), ('solidarity', 1), ('think', 1), ('event', 1), ('attention', 1), ('already', 1), ('ten', 1), ('message', 1), ('know', 1), ('lack', 1), ('image', 1), ('road', 1), ('transparency', 1), ('among', 1), ('cancel', 1), ('turned', 1), ('2009', 1), ('toll', 1), ('thousand', 1), ('year', 1), ('toxin', 1), ('used', 1), ('thus', 1), ('drinking', 1), ('coloured', 1), ('heavy', 1), ('make', 1), ('took', 1), ('thursday', 1), ('untimely', 1), ('coast', 1), ('water', 1), ('1998', 1), ('power', 1), ('encouraged', 1), ('work', 1), ('gathering', 1), ('paid', 1), ('striped', 1), ('innocent', 1), ('response', 1), ('steal', 1), ('died', 1), ('free', 1), ('thought', 1), ('20120908', 1), ('call', 1), ('try', 1), ('former', 1), ('part', 1), ('mestache', 1), ('current', 1), ('23', 1), ('protest', 1), ('express', 1)]",BUMP OF PROTESTS IN ABILA IN RESPONSE TO THE CALLS TO THE ACTION
1,1,"['light', 'truth', 'enormous', 'ipo', 'make', 'billionaire', 'sanjorge', '20131218', 'centrum', 'tethys', 'president', 'president', 'de', 'gastech', 'international', 'sten', 'sanjorge', 'jr', 'add', 'another', 'description', 'name', 'billionaire', 'one', 'billionaire', 'almost', 'billionaire', 'surplus', 'twice', 'like', 'international', 'sold', 'share', 'gastech', 'first', 'public', 'call', 'saving', 'international', 'gastech', 'founded', '1961', 'like', 'sanjorge', 'exchanging', 'sten', 'sanjorge', 'sr', 'produce', 'approximately', '5', 'million', 'cubic', 'meter', 'gas', 'daily', 'newspaper', 'curve', 'tiskele', 'site', 'drilling', 'gastech', 'kronos', 'particular', 'condition', 'classification', 'stake', '51', 'jr', 'sanjorge', 'company', 'sorrow', 'worth', '196', 'billion', 'stake', 'beatriz', 'flu', 'widowed', 'flu', 'hank', 'cofounder', 'company', '33', 'worth', 'sorrow', '127', 'billion', 'feel', 'sorry', 'executive', 'gastech', 'kronos', 'classification', 'prove', 'gastech', 'executive', 'kronos', 'gained', '32725', 'collective', 'million', 'lately', 'invested', 'share', 'includingunderstanding', '9625', 'million', 'cfo', 'ingrid', 'barranco', 'campocorrente', 'ada', 'cio', 'roucoulement', 'orhan', 'pianotent', 'environmental', 'adviser', 'safety', 'willem', 'vascofeed', 'also', 'gained', '385', 'million']",2013-12-18,C0,0.3380952380952381,0.015476190476190473,Positive,"[('gastech', 6), ('sanjorge', 5), ('billionaire', 4), ('million', 4), ('international', 3), ('kronos', 3), ('gained', 2), ('classification', 2), ('worth', 2), ('flu', 2), ('billion', 2), ('stake', 2), ('executive', 2), ('share', 2), ('sten', 2), ('president', 2), ('jr', 2), ('sorrow', 2), ('company', 2), ('like', 2), ('cubic', 1), ('ingrid', 1), ('site', 1), ('invested', 1), ('light', 1), ('exchanging', 1), ('51', 1), ('willem', 1), ('centrum', 1), ('particular', 1), ('founded', 1), ('twice', 1), ('feel', 1), ('condition', 1), ('barranco', 1), ('environmental', 1), ('truth', 1), ('newspaper', 1), ('daily', 1), ('add', 1), ('tiskele', 1), ('campocorrente', 1), ('196', 1), ('ipo', 1), ('prove', 1), ('9625', 1), ('surplus', 1), ('ada', 1), ('1961', 1), ('approximately', 1), ('enormous', 1), ('385', 1), ('sr', 1), ('gas', 1), ('32725', 1), ('cofounder', 1), ('collective', 1), ('5', 1), ('127', 1), ('vascofeed', 1), ('public', 1), ('hank', 1), ('beatriz', 1), ('make', 1), ('widowed', 1), ('lately', 1), ('drilling', 1), ('name', 1), ('produce', 1), ('almost', 1), ('saving', 1), ('orhan', 1), ('20131218', 1), ('one', 1), ('meter', 1), ('sorry', 1), ('call', 1), ('description', 1), ('cfo', 1), ('first', 1), ('also', 1), ('safety', 1), ('adviser', 1), ('33', 1), ('tethys', 1), ('cio', 1), ('includingunderstanding', 1), ('de', 1), ('curve', 1), ('pianotent', 1), ('roucoulement', 1), ('another', 1), ('sold', 1)]",ENORMOUS IPO MAKES THE BILLIONAIRE OF SANJORGE
2,2,"['everyday', 'news', 'global', 'box', 'charity', 'dren', 'disaster', '19991116', 'new', 'plea', 'campaign', 'horizon', 'maintain', 'liquidity', 'agency', 'aid', 'noticed', 'monetary', 'necessity', 'food', 'increased', 'everywhere', 'able', 'solve', 'basic', 'necessity', 'office', 'onu', 'coordination', 'humanitarian', 'subject', 'say', '15', 'million', 'people', 'remain', 'needing', 'vital', 'merchandize', 'service', 'number', 'severity', 'crisis', 'given', 'rise', 'deficiency', 'food', 'healthcare', 'access', 'sustenance', 'new', 'group', 'aid', 'singapur', 'took', 'care', 'formed', 'recently', 'answer', 'conflict', 'kosovo', 'dr', 'jayala', 'mahmed', 'could', 'find', 'organization', 'existing', 'sponsor', 'offer', 'voluntarily', 'medical', 'service', 'singapur', 'took', 'care', 'sent', 'five', 'mission', 'kosovo', 'provide', 'movable', 'medical', 'aid', 'also', 'sent', 'effort', 'mobilization', 'bottom', 'collaboration', 'government', 'malaysia', 'stopped', 'ready', 'help', 'financing', 'difficult', 'find', 'indicated', 'dr', 'mahmed', 'much', 'necessary', 'much', 'last', 'already', 'damaged', 'thirteen', 'people', 'tuesday', 'izmit', 'turkey', 'people', 'filled', 'convoy', 'relevaciσn', 'government', 'civil', 'employee', 'absolutely', 'fear', '20000', 'earthquake', 'people', 'happened', 'east', 'year', 'singapur', 'took', 'care', 'sent', 'equipment', 'relevaciσn', 'turkey', 'still', 'organization', 'aid', 'stretch', 'limit', 'health', 'attended', 'medical', 'equipment', 'emergency', 'ad', 'hoc', 'earthquake', 'september', 'central', 'taiwan', 'measured', '73', 'scale', 'richter', 'answer', 'equipment', 'emergency', 'impressive', 'coordinated', 'indicated', 'health', 'spokesman', 'never', 'ιramos', 'insurance', 'directed', 'u', 'desperate', 'location', 'soon', 'worked', 'medicine', 'bottom', 'support', 'equipment', 'aid', 'return', 'house', 'whereas', 'disclosed', 'global', 'press', '2500', 'people', 'killed', '100000', 'building', 'destroyed', 'local', 'press', 'disclosed', 'people', 'felt', 'correctly', 'took', 'care', 'declined', 'aid', 'relevaciσn', 'global', 'report', 'organization', 'disaster', 'emergency', 'member', 'making', 'able', 'obtain', 'aid', 'traverse', 'victim', 'earthquake', 'need', 'enormous', 'injection', 'bottom', 'cord', 'jim', 'foodsupport', 'charity', 'relevaciσn', 'disaster', 'time', 'think', 'deficiency', 'bottom', 'responsible', 'increase', 'attack', 'convoy', 'food', 'therefore', 'dissuading', 'many', 'agency', 'aid', 'obtain', 'inside']",1999-11-16,C0,0.4321699134199135,0.08474025974025975,Positive,"[('aid', 8), ('people', 6), ('care', 4), ('bottom', 4), ('took', 4), ('equipment', 4), ('relevaciσn', 4), ('medical', 3), ('earthquake', 3), ('singapur', 3), ('emergency', 3), ('sent', 3), ('food', 3), ('global', 3), ('organization', 3), ('disaster', 3), ('dr', 2), ('obtain', 2), ('disclosed', 2), ('press', 2), ('necessity', 2), ('convoy', 2), ('deficiency', 2), ('health', 2), ('indicated', 2), ('turkey', 2), ('mahmed', 2), ('find', 2), ('able', 2), ('much', 2), ('answer', 2), ('government', 2), ('new', 2), ('charity', 2), ('agency', 2), ('kosovo', 2), ('service', 2), ('access', 1), ('effort', 1), ('sustenance', 1), ('limit', 1), ('never', 1), ('many', 1), ('existing', 1), ('directed', 1), ('humanitarian', 1), ('say', 1), ('stopped', 1), ('scale', 1), ('conflict', 1), ('still', 1), ('voluntarily', 1), ('measured', 1), ('house', 1), ('subject', 1), ('killed', 1), ('remain', 1), ('increased', 1), ('medicine', 1), ('ιramos', 1), ('local', 1), ('need', 1), ('crisis', 1), ('provide', 1), ('inside', 1), ('healthcare', 1), ('severity', 1), ('horizon', 1), ('worked', 1), ('mobilization', 1), ('richter', 1), ('think', 1), ('felt', 1), ('jayala', 1), ('necessary', 1), ('east', 1), ('already', 1), ('liquidity', 1), ('victim', 1), ('difficult', 1), ('damaged', 1), ('spokesman', 1), ('jim', 1), ('september', 1), ('rise', 1), ('19991116', 1), ('coordination', 1), ('ready', 1), ('monetary', 1), ('location', 1), ('foodsupport', 1), ('dissuading', 1), ('hoc', 1), ('enormous', 1), ('stretch', 1), ('sponsor', 1), ('soon', 1), ('responsible', 1), ('filled', 1), ('solve', 1), ('dren', 1), ('therefore', 1), ('ad', 1), ('office', 1), ('employee', 1), ('five', 1), ('needing', 1), ('mission', 1), ('fear', 1), ('noticed', 1), ('offer', 1), ('onu', 1), ('group', 1), ('absolutely', 1), ('happened', 1), ('attended', 1), ('73', 1), ('financing', 1), ('formed', 1), ('year', 1), ('basic', 1), ('return', 1), ('malaysia', 1), ('15', 1), ('izmit', 1), ('central', 1), ('maintain', 1), ('20000', 1), ('could', 1), ('time', 1), ('help', 1), ('plea', 1), ('tuesday', 1), ('u', 1), ('100000', 1), ('traverse', 1), ('collaboration', 1), ('increase', 1), ('attack', 1), ('destroyed', 1), ('making', 1), ('everywhere', 1), ('support', 1), ('building', 1), ('cord', 1), ('civil', 1), ('insurance', 1), ('declined', 1), ('whereas', 1), ('report', 1), ('vital', 1), ('thirteen', 1), ('also', 1), ('box', 1), ('million', 1), ('recently', 1), ('number', 1), ('injection', 1), ('member', 1), ('2500', 1), ('movable', 1), ('impressive', 1), ('coordinated', 1), ('correctly', 1), ('news', 1), ('merchandize', 1), ('given', 1), ('taiwan', 1), ('campaign', 1), ('desperate', 1), ('last', 1), ('everyday', 1)]",Global boxes of the charity of dren of the disasters
3,3,"['tulip', 'prominent', 'matter', 'burgermatrijzen', 'leader', '65', '19940218', 'center', 'tethys', 'friday', 'early', 'four', 'year', 'diminishing', 'health', 'important', 'heart', 'attack', 'sten', 'sanjorge', 'sr', 'died', 'morning', 'sanjorge', 'sr', '65', 'center', 'tethys', 'president', 'emeritus', 'international', 'gastech', 'opgerichtd', 'company', '1961', 'beside', 'role', 'international', 'gastech', 'president', 'council', 'management', 'chamber', 'center', 'member', 'council', 'hospital', 'child', 'center', 'administrator', 'sten', 'champion', 'child', 'tethys', 'aforesaid', 'hospital', 'president', 'willem', 'gracias', 'always', 'truth', 'clerk', 'leader', 'worked', 'infinitely', 'float', 'forward', 'institution', 'sten', 'become', 'really', 'missed', 'ask', 'everyone', 'sanjorge', 'family', 'prayed', 'idea', 'keep', 'sanjorge', 'sr', 'survived', 'woman', 'ingrid', 'sanjorge', 'zoon', 'sten', 'sanjorge', 'jr', 'large', 'world', 'extinguished', 'slightly', 'still', 'pours', 'still', 'shade', 'aforesaid', 'sanjorge', 'gelofte', 'jr', 'lead', 'ahead', 'renewed', 'vision', 'dignity', 'living', 'work', 'father', 'company', 'honor']",1994-02-18,C0,0.2912698412698413,0.07063492063492063,Positive,"[('sanjorge', 7), ('center', 4), ('sten', 4), ('sr', 3), ('president', 3), ('tethys', 3), ('hospital', 2), ('gastech', 2), ('still', 2), ('child', 2), ('international', 2), ('aforesaid', 2), ('council', 2), ('jr', 2), ('65', 2), ('leader', 2), ('company', 2), ('ingrid', 1), ('administrator', 1), ('ahead', 1), ('world', 1), ('become', 1), ('willem', 1), ('always', 1), ('burgermatrijzen', 1), ('institution', 1), ('morning', 1), ('ask', 1), ('missed', 1), ('prayed', 1), ('dignity', 1), ('everyone', 1), ('emeritus', 1), ('lead', 1), ('four', 1), ('early', 1), ('truth', 1), ('management', 1), ('keep', 1), ('father', 1), ('worked', 1), ('friday', 1), ('survived', 1), ('idea', 1), ('tulip', 1), ('extinguished', 1), ('1961', 1), ('chamber', 1), ('heart', 1), ('diminishing', 1), ('honor', 1), ('slightly', 1), ('woman', 1), ('health', 1), ('matter', 1), ('important', 1), ('19940218', 1), ('zoon', 1), ('role', 1), ('year', 1), ('prominent', 1), ('gracias', 1), ('gelofte', 1), ('float', 1), ('family', 1), ('large', 1), ('renewed', 1), ('really', 1), ('vision', 1), ('attack', 1), ('forward', 1), ('work', 1), ('clerk', 1), ('living', 1), ('opgerichtd', 1), ('died', 1), ('infinitely', 1), ('beside', 1), ('member', 1), ('champion', 1), ('shade', 1), ('pours', 1)]","PROMINENT MATTER, BURGERMATRIJZEN OF THE LEADER AT 65"
4,4,"['news', 'online', 'today', 'elodis', 'kronos', 'help', 'unexpected', 'source', 'part', 'two', 'petrus', 'gerhard', '19980426', 'note', 'article', 'second', 'series', 'reprinted', 'permission', 'homeland', 'illumination', 'bodrogi', 'farmed', 'soybean', 'entire', 'life', 'father', 'father', 'weve', 'worked', 'land', 'long', 'time', 'maybe', '200', 'year', 'maybe', 'bit', 'henk', 'bodrogi', 'told', 'picked', 'container', 'bolt', 'searching', 'right', 'size', 'took', 'figure', 'one', 'city', 'officer', 'figured', 'call', 'water', 'specialist', 'tested', 'said', 'water', 'contaminated', 'water', 'specialist', 'turned', 'international', 'agency', 'wellness', 'international', 'agency', 'mission', 'bring', 'healthy', 'water', 'community', 'distressed', 'natural', 'disaster', 'draught', 'coincidentally', 'oil', 'gas', 'development', 'reynolds', 'agreed', 'speak', 'minute', 'meeting', 'work', 'elodis', 'elodis', 'drinking', 'water', 'come', 'tiskele', 'river', 'water', 'farming', 'looked', 'source', 'upstream', 'toxin', 'forming', 'subsurface', 'plume', 'seeps', 'tiskele', 'river', 'resident', 'elodis', 'draw', 'drinking', 'water', 'irrigation', 'crop', 'didnt', 'make', 'headway', 'gastech', 'reynolds', 'continued', 'community', 'leader', 'decided', 'approach', 'government', 'kronos', 'assistance', 'per', 'policy', 'permission', 'elodis', 'leader', 'published', 'test', 'result', 'official', 'public', 'document', 'elodis', 'leader', 'approached', 'government', 'official', 'citizen', 'kronesian', 'community', 'armed', 'scientific', 'analysis']",1998-04-26,C0,0.35273809523809524,0.09357142857142856,Positive,"[('water', 7), ('elodis', 6), ('leader', 3), ('community', 3), ('official', 2), ('permission', 2), ('specialist', 2), ('father', 2), ('tiskele', 2), ('maybe', 2), ('river', 2), ('reynolds', 2), ('international', 2), ('kronos', 2), ('drinking', 2), ('source', 2), ('government', 2), ('agency', 2), ('bodrogi', 2), ('natural', 1), ('200', 1), ('gastech', 1), ('weve', 1), ('figured', 1), ('reprinted', 1), ('bring', 1), ('two', 1), ('gerhard', 1), ('oil', 1), ('farmed', 1), ('searching', 1), ('city', 1), ('assistance', 1), ('series', 1), ('decided', 1), ('armed', 1), ('scientific', 1), ('kronesian', 1), ('size', 1), ('draw', 1), ('land', 1), ('today', 1), ('19980426', 1), ('citizen', 1), ('come', 1), ('said', 1), ('upstream', 1), ('worked', 1), ('healthy', 1), ('document', 1), ('unexpected', 1), ('farming', 1), ('petrus', 1), ('approach', 1), ('test', 1), ('result', 1), ('gas', 1), ('wellness', 1), ('container', 1), ('online', 1), ('resident', 1), ('mission', 1), ('forming', 1), ('turned', 1), ('per', 1), ('entire', 1), ('right', 1), ('life', 1), ('told', 1), ('irrigation', 1), ('distressed', 1), ('plume', 1), ('year', 1), ('toxin', 1), ('development', 1), ('coincidentally', 1), ('seeps', 1), ('public', 1), ('soybean', 1), ('time', 1), ('didnt', 1), ('help', 1), ('policy', 1), ('draught', 1), ('speak', 1), ('make', 1), ('took', 1), ('second', 1), ('agreed', 1), ('crop', 1), ('picked', 1), ('henk', 1), ('tested', 1), ('contaminated', 1), ('work', 1), ('one', 1), ('bolt', 1), ('homeland', 1), ('analysis', 1), ('approached', 1), ('meeting', 1), ('call', 1), ('published', 1), ('part', 1), ('long', 1), ('figure', 1), ('continued', 1), ('bit', 1), ('minute', 1), ('headway', 1), ('looked', 1), ('subsurface', 1), ('disaster', 1), ('article', 1), ('news', 1), ('note', 1), ('illumination', 1), ('officer', 1)]","ELODIS, KRONOS:  HELP FROM AN UNEXPECTED SOURCE Part Two "
5,5,"['worldwise', 'ministry', 'health', 'study', 'complaint', 'contamination', '19981110', 'abila', 'kronos', 'minister', 'health', 'cesare', 'nespola', 'announced', 'today', 'organization', 'would', 'study', 'complaint', 'abnormal', 'question', 'health', 'sector', 'surrounding', 'site', 'drill', 'curve', 'tiskele', 'said', 'nespola', 'minister', 'reason', 'believe', 'drilling', 'curve', 'tiskele', 'like', 'consequence', 'contamination', 'external', 'water', 'well', 'area', 'however', 'believe', 'important', 'minister', 'health', 'make', 'diligence', 'study', 'reportsratios', 'disease', 'close', 'black', 'suburb', 'elodis', 'take', 'care', 'people', 'priority', 'number', 'one', 'relative', 'news', 'press', 'release', 'office', 'nespola', 'proclaimed', 'office', 'granted', 'license', 'practice', 'medicine', 'oncologist', 'tethys', 'making', 'first', 'oncologist', 'authorized', 'history', 'kronos', 'dr', 'ronald', 'gerald', 'resident', 'hospital', 'general', 'abila']",1998-11-10,C0,0.39444444444444443,0.0888888888888889,Positive,"[('health', 4), ('nespola', 3), ('minister', 3), ('study', 3), ('abila', 2), ('complaint', 2), ('kronos', 2), ('contamination', 2), ('oncologist', 2), ('curve', 2), ('believe', 2), ('office', 2), ('tiskele', 2), ('making', 1), ('surrounding', 1), ('close', 1), ('site', 1), ('reportsratios', 1), ('dr', 1), ('today', 1), ('one', 1), ('hospital', 1), ('important', 1), ('diligence', 1), ('ronald', 1), ('ministry', 1), ('said', 1), ('press', 1), ('abnormal', 1), ('reason', 1), ('disease', 1), ('general', 1), ('external', 1), ('water', 1), ('well', 1), ('suburb', 1), ('license', 1), ('first', 1), ('authorized', 1), ('gerald', 1), ('people', 1), ('care', 1), ('black', 1), ('19981110', 1), ('release', 1), ('tethys', 1), ('relative', 1), ('number', 1), ('consequence', 1), ('sector', 1), ('granted', 1), ('make', 1), ('medicine', 1), ('drill', 1), ('would', 1), ('worldwise', 1), ('take', 1), ('history', 1), ('area', 1), ('drilling', 1), ('elodis', 1), ('organization', 1), ('however', 1), ('question', 1), ('practice', 1), ('news', 1), ('announced', 1), ('cesare', 1), ('like', 1), ('proclaimed', 1), ('resident', 1), ('priority', 1)]",The ministry for health studies complaints of contamination
6,6,"['world', 'journal', 'four', 'people', 'died', 'burning', 'accident', 'road', 'close', 'elodis', '20070320', 'one', 'nine', 'year', 'old', 'boy', 'beginning', 'survived', 'accident', 'stolen', 'hospital', 'child', 'abila', 'declared', 'completely', 'arrival', 'police', 'force', 'say', 'driver', '25', 'year', 'old', 'truck', 'guard', 'prison', 'elodis', 'leader', 'say', 'car', 'burst', 'flame', 'run', 'truck', 'gastech', 'road', 'calistermi', 'right', '9am', 'kdt', 'team', 'identification', 'victim', 'disaster', 'kronos', 'sent', 'examine', 'wreck', 'auxiliary', 'police', 'chief', 'adian', 'koppolis', 'police', 'force', 'described', 'scene', 'like', 'terrifying', 'said', 'nine', 'year', 'old', 'boy', 'proved', 'wander', 'around', 'site', 'accident', 'tragic', 'nobody', 'finally', 'survived', 'road', 'outside', 'unfair', 'constantly', 'vigilant', 'leading', 'said', 'noted', 'truck', 'passed', 'intersection', 'car', 'right', 'manner']",2007-03-20,C0,0.48113553113553115,-0.10412087912087913,Negative,"[('old', 3), ('truck', 3), ('year', 3), ('accident', 3), ('police', 3), ('road', 3), ('right', 2), ('said', 2), ('force', 2), ('say', 2), ('survived', 2), ('nine', 2), ('car', 2), ('elodis', 2), ('boy', 2), ('chief', 1), ('burst', 1), ('abila', 1), ('close', 1), ('hospital', 1), ('kdt', 1), ('one', 1), ('site', 1), ('unfair', 1), ('around', 1), ('world', 1), ('prison', 1), ('nobody', 1), ('driver', 1), ('gastech', 1), ('proved', 1), ('manner', 1), ('vigilant', 1), ('died', 1), ('leading', 1), ('wander', 1), ('stolen', 1), ('declared', 1), ('arrival', 1), ('team', 1), ('constantly', 1), ('terrifying', 1), ('25', 1), ('sent', 1), ('examine', 1), ('described', 1), ('completely', 1), ('flame', 1), ('koppolis', 1), ('people', 1), ('journal', 1), ('kronos', 1), ('adian', 1), ('victim', 1), ('passed', 1), ('outside', 1), ('leader', 1), ('finally', 1), ('child', 1), ('9am', 1), ('wreck', 1), ('20070320', 1), ('intersection', 1), ('four', 1), ('guard', 1), ('auxiliary', 1), ('noted', 1), ('disaster', 1), ('identification', 1), ('tragic', 1), ('beginning', 1), ('burning', 1), ('like', 1), ('scene', 1), ('run', 1), ('calistermi', 1)]",Four people died in a burning accident of road close to Elodis 
7,7,"['news', 'online', 'today', 'wrap', 'event', 'gastech', '20140120', 'abila', 'kronos', 'long', 'tense', 'day', 'conflicting', 'report', 'confusing', 'information', 'come', 'end', 'know', 'certain', '14', 'gastech', 'employee', 'missing', 'kidnapped', 'confirmed', 'kronos', 'government', 'source', 'edvard', 'vann', 'gastech', 'kronos', 'security', 'guard', 'interrogated', 'released', '6', 'hour', 'gave', 'indication', 'protector', 'kronos', 'involved', 'least', 'suspected', 'perpetrator', 'behind', 'today', 'event']",2014-01-20,C1,0.5026785714285714,-0.12113095238095238,Negative,"[('kronos', 4), ('gastech', 3), ('today', 2), ('event', 2), ('confusing', 1), ('vann', 1), ('abila', 1), ('day', 1), ('source', 1), ('14', 1), ('come', 1), ('suspected', 1), ('end', 1), ('conflicting', 1), ('tense', 1), ('information', 1), ('confirmed', 1), ('least', 1), ('report', 1), ('government', 1), ('behind', 1), ('indication', 1), ('long', 1), ('involved', 1), ('released', 1), ('security', 1), ('certain', 1), ('6', 1), ('wrap', 1), ('protector', 1), ('20140120', 1), ('edvard', 1), ('guard', 1), ('perpetrator', 1), ('missing', 1), ('kidnapped', 1), ('know', 1), ('news', 1), ('interrogated', 1), ('online', 1), ('gave', 1), ('hour', 1), ('employee', 1)]",WRAP UP OF EVENTS AT GASTECH 
8,8,"['modern', 'rubicon', 'scene', 'blog', '20', 'january', '2014', '1532', 'modernization', 'employee', 'kronos', 'gastech', 'leaf', 'construction', 'center', 'refused', 'order', 'supply', 'name', 'said', 'brace', 'disowned', 'people', 'posterior', 'part', 'conference', 'room', 'reunion', 'gastech', 'morning', 'happened', 'disowned', 'dark', 'people', 'lurking', 'around', 'reunion', 'room', 'employ', 'gastech', 'dressed', 'black', 'one', 'seemed', 'levarsi', 'foot', 'watching', 'previous', 'one']",2014-01-20,C1,0.325,-0.07083333333333333,Negative,"[('gastech', 3), ('one', 2), ('disowned', 2), ('people', 2), ('reunion', 2), ('room', 2), ('lurking', 1), ('brace', 1), ('happened', 1), ('rubicon', 1), ('dark', 1), ('refused', 1), ('around', 1), ('construction', 1), ('watching', 1), ('said', 1), ('levarsi', 1), ('1532', 1), ('seemed', 1), ('2014', 1), ('20', 1), ('part', 1), ('kronos', 1), ('morning', 1), ('employee', 1), ('black', 1), ('blog', 1), ('conference', 1), ('modernization', 1), ('center', 1), ('employ', 1), ('previous', 1), ('january', 1), ('modern', 1), ('order', 1), ('foot', 1), ('posterior', 1), ('name', 1), ('supply', 1), ('dressed', 1), ('scene', 1), ('leaf', 1)]",ON SCENE BLOG
9,9,"['kronos', 'star', 'breaking', 'emergency', 'gastech', 'headquarters', 'building', 'update', 'cato', 'rossini', 'marcella', 'trapani', '20', 'january', '2014', 'update', '100', 'pm', 'police', 'come', 'gone', 'gastech', 'building', 'point', 'gastech', 'employee', 'left', 'building', 'still', 'official', 'word', 'police', 'present']",2014-01-20,C1,0.0,-0.0,Neutral,"[('building', 3), ('gastech', 3), ('police', 2), ('update', 2), ('come', 1), ('trapani', 1), ('rossini', 1), ('word', 1), ('official', 1), ('marcella', 1), ('still', 1), ('2014', 1), ('20', 1), ('star', 1), ('kronos', 1), ('employee', 1), ('breaking', 1), ('left', 1), ('january', 1), ('present', 1), ('point', 1), ('100', 1), ('emergency', 1), ('pm', 1), ('gone', 1), ('headquarters', 1), ('cato', 1)]",Breaking: Emergency at GAStech Headquarters Building [Updates]
