,article_number,content,dates
0,0,orb bump protests abila response calls action 20120908 abila kronos thousands people striped roads thursday posting solidarity antigovernment among demonstrators mestache vardshvna 23 western coast kronos try obtain attention government said important thus took leave work part important event one much used power free speech express concern current lack transparency government public moneys must realize know make additional vardshvna simply steal money think leave posters coloured images elian karel juliana vann recalls heavy toll already paid chiefs innocent ones karel former chief guards kronos untimely death 2009 death thought murder encouraged much cancel gatherings bring message guards kronos public juliana vann died 1998 cancer caused environmental toxins drinking water turned ten years,2012-09-08
1,1,light truth enormous ipo makes billionaire sanjorge 20131218 centrum tethys president president de gastech international sten sanjorge jr add another description name billionaire one billionaire almost billionaire surplus twice like international sold shares gastech first public call saving international gastech founded 1961 like sanjorge exchanging sten sanjorge sr produces approximately 5 million cubic meters gas daily newspaper curve tiskele site drilling gastech kronos particular conditions classification stake 51 jr sanjorge company sorrow worth 196 billion stake beatriz fluss widowed fluss hank cofounder company 33 worth sorrow 127 billion feel sorry executives gastech kronos classifications prove gastech executives kronos gained 32725 collective million lately invested shares includingunderstanding 9625 million cfo ingrid barranco campocorrente ada cio roucoulement orhan pianotent environmental adviser safety willem vascofeed also gained 385 million,2013-12-18
2,2,everyday news global boxes charity dren disasters 19991116 new pleas campaign horizon maintain liquidity agencies aid noticed monetary necessities food increased everywhere able solve basic necessities office onu coordination humanitarian subjects says 15 million people remain needing vital merchandize services number severity crisis given rise deficiency food healthcare access sustenances new group aid singapur took care formed recently answer conflict kosovo dr jayala mahmed could find organization existing sponsor offer voluntarily medical services singapur took care sent five missions kosovo provide movable medical aid also sent effort mobilization bottoms collaboration governments malaysia stopped ready help financing difficult find indicated dr mahmed much necessary much last already damaged thirteen people tuesday izmit turkey people filled convoy relevaciσn government civil employees absolutely fear 20000 earthquake people happened east year singapur took care sent equipment relevaciσn turkey still organizations aid stretch limits health attended medical equipment emergency ad hoc earthquake september central taiwan measured 73 scale richter answer equipment emergency impressive coordinated indicated health spokesman never ιramos insurances directed us desperate locations soon worked medicines bottoms support equipment aid return house whereas disclosed global press 2500 people killed 100000 buildings destroyed local press disclosed people felt correctly took care declined aid relevaciσn global report organization disaster emergency members making able obtain aid traverse victims earthquake need enormous injections bottoms cord jim foodsupport charity relevaciσn disaster times think deficiency bottoms responsible increase attacks convoys food therefore dissuading many agencies aid obtain inside,1999-11-16
3,3,tulip prominent matter burgermatrijzen leader 65 19940218 center tethys friday early four years diminishing health important heart attack sten sanjorge sr died morning sanjorge sr 65 center tethys president emeritus international gastech opgerichtd company 1961 beside role international gastech president council management chamber center member council hospital children center administrators sten champion children tethys aforesaid hospital president willem gracias always truth clerk leader worked infinitely float forward institution sten become really missed ask everyone sanjorge family prayed ideas keeps sanjorge sr survived woman ingrid sanjorge zoon sten sanjorge jr large world extinguished slightly still pours still shade aforesaid sanjorge gelofte jr lead ahead renewed vision dignity living work father company honor,1994-02-18
4,4,news online today elodis kronos help unexpected source part two petrus gerhard 19980426 note article second series reprinted permission homeland illumination bodrogi farmed soybeans entire life father fathers weve worked land long time maybe 200 years maybe bit henk bodrogi told picked container bolts searching right size took figure one city officers figured call water specialist tested said water contaminated water specialist turned international agency wellness international agency mission bring healthy water communities distressed natural disasters draught coincidentally oil gas development reynolds agreed speak minutes meetings work elodis elodis drinking water comes tiskele river water farming looked source upstream toxins forming subsurface plume seeps tiskele river residents elodis draw drinking water irrigation crops didnt make headway gastech reynolds continued community leaders decided approach government kronos assistance per policy permission elodis leaders published test results official public document elodis leaders approached government officials citizens kronesian community armed scientific analysis,1998-04-26
5,5,worldwise ministry health studies complaints contamination 19981110 abila kronos minister health cesare nespola announced today organization would study complaints abnormal questions health sectors surrounding site drill curve tiskele said nespola minister reason believe drilling curve tiskele like consequence contamination external water well area however believe important minister health make diligence study reportsratios disease close black suburbs elodis take care people priority number one relative news press release office nespola proclaimed office granted license practice medicine oncologist tethys making first oncologist authorized history kronos dr ronald gerald resident hospital general abila,1998-11-10
6,6,world journal four people died burning accident road close elodis 20070320 one nine years old boy beginning survived accident stolen hospital children abila declared completely arrival police force says driver 25 year old truck guard prison elodis leaders say car burst flames run truck gastech road calistermi right 9am kdt team identification victim disaster kronos sent examine wreck auxiliary police chief adian koppolis police force described scene like terrifying said nine years old boy proved wander around site accidents tragic nobody finally survived roads outside unfair constantly vigilant leading said noted truck passed intersection car right manner,2007-03-20
7,7,news online today wrap events gastech 20140120 abila kronos long tense day conflicting reports confusing information come end know certain 14 gastech employees missing kidnapped confirmed kronos government source edvard vann gastech kronos security guard interrogated released 6 hours gave indication protectors kronos involved least suspected perpetrators behind todays events,2014-01-20
8,8,modern rubicon scene blog 20 january 2014 1532 modernization employee kronos gastech leaves construction centers refused order supply name said brace disowned people posterior part conference room reunion gastech morning happened disowned dark people lurking around reunion room employ gastech dressed black one seemed levarsi feet watching previous ones,2014-01-20
9,9,kronos star breaking emergency gastech headquarters building updates cato rossini marcella trapani 20 january 2014 update 100 pm police come gone gastech building point gastech employees left building still official word police present,2014-01-20
10,10,homeland illumination voices blog important people maha salo 20 january 2014 1018 fire alarm gone gastech headquarters people evacuating building far sign sanjorge executive staff officials asked reporters move away building allow fire department access flavor yet another media ploy avoid confrontation people kronos 20 jan 2014,2014-01-20
11,11,tethys news break emergency gastech quarters construction modernizations 20 january 2014 modernization 305 pm police p2o left scene others remain external part fix construction others still construction much speculation approximately activities police still answer questions information,2014-01-20
12,12,news online today four people died fiery road crash near elodis 20070319 nineyear old boy initially survived crash flown abila childrens hospital declared dead arrival police say 25 year old truck driver custody elodis jail,2007-03-19
13,13,centrum sentinel voices blog approximately important people 20 january 2014 1025 test smoke fire marked fire unit arrive hardly 20 gen 2014,2014-01-20
14,14,news online today protest turns violent abila 20090621 abila kronos rally hundreds protestors allied protectors kronos movement turned violence today angry activists vented displeasure innocent citizens abila hearing news pok leader elian karels death pok assembly began peacefully enough usual chanted slogans waving protest signs one young rabblerouser grabbed bullhorn began inciting crowd violence,2009-06-21
15,15,centrum sentinel voices blog approximately important people 20 january 2014 1744 means relationships coming much sure number employ gastech rob identity passengers mystery jet left today advance payment airport abila remains disowned 20 gen 2014,2014-01-20
16,16,news online today elodis public health fact sheet 19980516 elodis kronos request citizens elodis wellness published report impact gas drilling operations water quality public health,1998-05-16
17,17,wrap end protests pok arrests 20050406 elodis kronos fifteen members guards kronos activist organization pok arrested kronos federal police force yesterday dispute poorten facility gastech bending tiskele protesters came close weapons paddlepaddle paddle movement stop facility leaves enters 8 local time movement security copy sides poorten swinging sang protesters confessed protest songs including ounce country songs farmer weavers birth country arresting protesters pok started federal police force moved neat manner waiting police force van sings complete time,2005-04-06
18,18,homeland illumination pok remembers martyred leader petrus gerhard 20 june 2012 abila kronos touching ceremony wednesday leaders activist group protectors kronos paid tribute fallen leader elian karel murdered 19 june 2009 illegally detained kronos jail today gather remember elian karel silvia marek told rapt assembly many held white candles karels honor elian born elodis farm 40 minutes jeroen antaura karel grew specter death around time elian 17 many family members friends battling constant illness including neighbor 10year old juliana vann marek paused moment allow cries remember juliana fade elian devoted life people elodis well citizens kronos father elian knew would difficult journey watched father jeroen founder pok henk bodrogi walk path would tread elian knew course would easy would leave little time personal life yet chose take steps despite challenges knew would face elians journey ended three years ago today dream die vision healthy prosperous future today honor course afternoon several speakers paid tribute elian victims environmental catastrophe brought greed corruption public officials gathering marred aggravating presence abila police riot gear police agitated many crowd causing leave assembly rather assailed batons pepper spray,2012-06-20
19,19,news desk arrested leader pok 20090313 abila kronos elian karel charismatic leader guards kronos arrested today charges belastingontwijking michale kraft lawyer karel released declaration claiming charges levelled customer false hoped customer police force preservation end week delivered answered declaration spokesman adrien carman police force kraft explaining think kraft seriousness situation customer underestimated dense group since time followed previous month group karel violating incident responsible entrance hoofdkwartier gastech kronos blocked president ceo sten sanjorge jr gastech convicts pok terrorists,2009-03-13
20,20,truth turns protest violently abila 20090621 abila kronos collection hundreds protestors united guards movement kronos twisted today violence since boze activists dissatisfaction onschuldige citizens abila hearing news pok death leiderselian karel ventilated karel waited test belastingontwijking found morning prison cell dead yesterday assembly pok started peacefully enough usual chanted slogans undulating protest signs rabble rabblerouser one youngsters started seized bullhorn calling mob violence mob break windows vandalized shops fires determined siopa area streets bluntest police force extra politiekrachten answered contain chaos forced rubber balls use traangas spread mob office president kapelous released declaration concerning collection explaining type forgive violence become destruction violence manner peace reach change things opposition guards kronos must resume peaceful resources approaches justify,2009-06-21
21,21,modern rubicon scene blog 20 january 2014 modernization 1506 police begun leave centers gastech officials refused answer questions reporter leave scene vehicles police remained behind presumablly remaining officials interviewing employ gastech still remain inside construction company cord police still remains around building gastech,2014-01-20
22,22,daily pegasus members pok arrested 20010902 elodis kronos heavies government obstructed free speech yet members protectors group activist kronos yesterday legal demonstration fields curve tiskele five activists pok collected front doors facility operations gas gastech perforated cause public conscience contaminated river tiskele caused problems health residents elodis present people disclose demonstration begun pacific five members pok walked forwards backwards way singing remembers julian poison eyewitness said doors opened allow vehicles company gastech leave facility moved demonstrators side witnesses apparently agree time vehicles government seal kronos lead doors gliding incorporate facility era civil one griffith mabel resident elodis left support pok said opened doors pok people moved cars expelled one stranger obtained cars stopped means way reason another eyewitness farmer charley normand de elodis adds yes pok individuals requested conductors moved pleasant conductors gastech pay attention windows could hear renters vehicles government left assembled altercation event sequence gets confused point witnesses indicate instigadas discussions conductors gastech protestors others think officials government began intimidate demonstrators way people cars government police mabel says used uniforms currencies onlookers says three parties began shout certain point police kronos abila arrested five activists probably transported jail elodis spite repeated orders interview granted access arrested,2001-09-02
23,23,general post sanjorge jr condemns pok like terrorists 20090222 center tethys official declaration sent sten sanjorge president jr ceo international gastech condemns protectors kronos like ilegνtimo organization terrorist declaration came answer meeting protest wednesday pok headquarters gastech kronos rough 200 people collected front mottos singing building gastech samples shook alleged people died debt results contamination site perforated gastech sanjorge jr responded demands refrαn contamination gastech gastech worked untiring solve excιdase international standards health suitable upon government kronos nobodies everything perforated ten demonstrators pok chained door gastech kronos except entrance building long sanjorge declaration jr presentsdisplays discussion person arranged violate deprived characteristic person arranged chained door avoid business works person arranged break windows burn cars city person arranged make thing person arranged make thing obtain goal end presses fear common citizen fear later fear able people group uses fear violence obtain goals end one word word terrorist declaration concludes sanjorge jr demands government system kronos assures security employees citizens kronos,2009-02-22
